zinc_id,smiles,bucket,pred_log10fc,pct_remaining_pred,pred_uncertainty,p_detectable,max_sim_to_training,in_applicability_domain,max_sim_to_cliff,mw,clogp,tranche,purchasability,vendor_lookup,has_aniline,has_amide,has_sulfonamide,has_tertiary_aliphatic_amine
32142633,Brc1ccc(OCCOCCOCCOc2ccc(Br)cc2)cc1,uncertainty_sampling,-1.5838800593621096,2.6068734000082823,1.516942595539389,0.6744526020155122,0.34375,True,0.16071428571428573,460.16200000000003,4.702600000000004,JJAA,A,https://zinc20.docking.org/substances/32142633,False,False,False,False
1875289199,Cc1noc(C)c1[C@@H](C)CNC(=O)N(C)Cc1ccc(Cn2ccnc2)cc1,uncertainty_sampling,-2.2470354758300446,0.5661930370382987,1.5168590462332248,0.9264386283451732,0.3620689655172414,True,0.26582278481012656,381.4800000000001,3.481340000000002,GGAB,B,https://zinc20.docking.org/substances/1875289199,False,True,False,False
1758903,CCOc1ccc(N(CCN(C)C)C(=O)C(c2ccccc2)c2ccccc2)cc1,uncertainty_sampling,-1.8867185399260098,1.2980202268877965,1.5165737708954516,0.8886415298058113,0.32,False,0.2898550724637681,402.53800000000007,4.812000000000005,HJAB,B,https://zinc20.docking.org/substances/1758903,False,True,False,True
26045968,CC(=O)NCCc1ccc(C(=O)CSc2nccn2-c2cc(C)cc(C)c2)cc1,uncertainty_sampling,-1.8986113737046661,1.262957180148715,1.5164088641744808,0.938175581397005,0.2839506172839506,False,0.27906976744186046,407.5390000000001,4.142740000000003,HIAB,B,https://zinc20.docking.org/substances/26045968,False,True,False,False
6311409,CCN(CC)C(=O)CSc1nc(-c2cccc(C)c2)nc2c1CCCC2,uncertainty_sampling,-1.9270341609292783,1.1829485031739566,1.516393431025508,0.9357216557203313,0.375,True,0.29333333333333333,369.5340000000002,4.291320000000003,FIAB,B,https://zinc20.docking.org/substances/6311409,False,True,False,False
253595932,CO[C@@H]1C[C@]23[C@H]4[C@H]5[C@@H](CC[C@@H]5O1)[C@H]1[C@@H]4[C@H]4[C@H]5[C@@H]6[C@@H](CC[C@@H]6O[C@H]2[C@]51C)[C@@H]43,space_expansion,-0.9854640323864086,10.340367347981875,1.11696976995799,0.5061608438859379,0.10843373493975904,False,0.0989010989010989,354.4900000000001,3.3255000000000017,FGAA,A,https://zinc20.docking.org/substances/253595932,False,False,False,False
257358367,CO[C@@]12[C@H]3[C@@H]4[C@@H]5[C@@H]6[C@@H]3[C@@H]3[C@@H]7[C@@H]8[C@H]([C@@H]9[C@@H]%10[C@H]([C@H]4[C@H]91)[C@H]5[C@](Br)([C@@H]8%10)[C@@H]67)[C@H]32,space_expansion,-0.7262599026943167,18.781924797443832,0.9673056054576049,0.5004271463792652,0.10909090909090909,False,0.08695652173913043,369.302,2.746500000000001,FFAA,A,https://zinc20.docking.org/substances/257358367,False,False,False,False
104078555,NC(=O)C12C3(Cl)[C@]4(Cl)C5(Cl)C(Cl)(Cl)C(Cl)([C@@]14Cl)[C@]2(Cl)[C@]53Cl,space_expansion,-0.7557307311895539,17.549682701003494,1.0607320412138288,0.5162242685205666,0.1111111111111111,False,0.0851063829787234,471.2090000000002,3.5431999999999997,JHAB,B,https://zinc20.docking.org/substances/104078555,False,True,False,False
5528112,C[C@@H]1CC[C@@H]2[C@]3(C)COC(C)(C)O[C@H]3CC[C@]2(C)[C@@]12CC[C@]1(CCOC1)O2,space_expansion,-1.0694743040037333,8.521689303524752,1.2065278269662227,0.569892714028707,0.11235955056179775,False,0.0963855421686747,378.5530000000003,4.698700000000004,GJAA,A,https://zinc20.docking.org/substances/5528112,False,False,False,False
104130546,COC1(OC)C(Cl)=C(Cl)[C@H]2[C@H]1[C@]1(Cl)C(Cl)=C(Cl)[C@]2(Cl)C1(OC)OC,space_expansion,-0.8390769059039629,14.485153242793055,1.055584751406564,0.5826175490761047,0.11688311688311688,False,0.11688311688311688,458.9800000000002,4.571400000000003,JJAB,B,https://zinc20.docking.org/substances/104130546,False,False,False,False
253595728,CO[C@H]1O[C@H]2CC[C@@H]3[C@H]2[C@@H]2[C@@H]4[C@H]5[C@H]6[C@H]7[C@@H](CC[C@H]7O[C@H](OC)[C@@]6(C)[C@@H]34)[C@H]5[C@]12C,space_expansion,-0.736546795406904,18.34227517709132,1.0208607265421539,0.5063314862291521,0.12162162162162163,False,0.10256410256410256,386.53200000000015,3.545600000000002,GHAA,A,https://zinc20.docking.org/substances/253595728,False,False,False,False
104169942,Oc1c(Br)cc(Br)cc1/C=C\NC(=S)N[C@H]1C[C@@H]2C[C@@H]1[C@H]1C=CC[C@H]21,space_expansion,-1.4272505286315267,3.738948397662894,1.272859972942211,0.6937898039967814,0.12345679012345678,False,0.1,484.2570000000002,4.952700000000004,JJAB,B,https://zinc20.docking.org/substances/104169942,False,False,False,False
3881322,C[C@@H]1CC[C@@H]2[C@]3(C)COC(C)(C)O[C@H]3CC[C@]2(C)[C@@]12CC[C@@](CO)(CCO)O2,space_expansion,-1.0749450807764875,8.415015479929322,1.1294099153263646,0.5830461009583492,0.125,False,0.11363636363636363,396.56800000000027,3.6531000000000033,GHAB,B,https://zinc20.docking.org/substances/3881322,False,False,False,False
4813935,C[N+](C)(C)CCSC(=O)CCCCCCC(=O)SCC[N+](C)(C)C,space_expansion,-1.8309944673057073,1.475725333158144,1.4760106211500879,0.6571075768910327,0.125,False,0.11475409836065574,378.6480000000001,3.259000000000002,GGBB,B,https://zinc20.docking.org/substances/4813935,False,False,False,False
5479600,C[C@@H]1O[C@H]2CO[C@H](C)O[C@H]2[C@H](C(C2C(=O)CC(C)(C)CC2=O)C2C(=O)CC(C)(C)CC2=O)O1,space_expansion,-1.0147469101978646,9.666140196505056,1.2238438829276193,0.5270701123560144,0.1282051282051282,False,0.1125,464.55500000000035,2.6427999999999994,JFAB,B,https://zinc20.docking.org/substances/5479600,False,False,False,False
70688107,C[C@H]1CC[C@H]2[C@H](C)[C@H]3C[C@H](O)[C@@H]4[C@@H](C[C@H]5[C@H]4C[C@@H](O)[C@H]4C[C@H](O)CC[C@@]45C)[C@@H]3CN2C1,space_expansion,-1.1269012920094237,7.466184332134398,1.227938464863982,0.5020216174092056,0.12871287128712872,False,0.10344827586206896,431.6610000000003,3.5340000000000025,IHAB,B,https://zinc20.docking.org/substances/70688107,False,False,False,True
584567035,CN[C@@H](C)[C@H]1[C@H](O)C[C@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](NC)CC[C@]45C[C@@]35CC[C@]12C,space_expansion,-1.2939498259769024,5.0821815359081,1.3467424966433055,0.6051506058739986,0.12941176470588237,False,0.10638297872340426,402.66700000000026,4.592200000000004,HJAB,B,https://zinc20.docking.org/substances/584567035,False,False,False,False
248293854,CC(C)(C)[C@@H]1CC[C@@H]2OCCOCCO[C@@H]3CCCC[C@H]3OCCOCCO[C@H]2C1,space_expansion,-1.3301390017308568,4.675854603830586,1.2767491924553938,0.6699233676697192,0.12962962962962962,False,0.0975609756097561,428.6100000000003,3.9942000000000037,IHAB,B,https://zinc20.docking.org/substances/248293854,False,False,False,False
253390514,CC(=O)OC/C(=C/CC/C(=C\CC/C(C)=C/CO)CO)CCC=C(C)C,space_expansion,-0.9554914298319995,11.0792042835186,1.1847367555798618,0.5000785598843099,0.13043478260869565,False,0.12790697674418605,364.5260000000002,4.640000000000004,FJAB,B,https://zinc20.docking.org/substances/253390514,False,False,False,False
