ocnt_batch,enzyme,n,n_zero,pattern
OCNT-0454871-AA-001,CYP3A4,4,0,none
OCNT-0454872-AA-001,CYP2J2,4,0,none
OCNT-0454872-AA-001,CYP3A4,4,0,none
OCNT-0454876-AA-001,CYP2J2,4,0,none
OCNT-0454876-AA-001,CYP3A4,4,4,full
OCNT-0454879-AA-001,CYP2J2,4,0,none
OCNT-0454879-AA-001,CYP3A4,4,2,partial
OCNT-0454884-AA-001,CYP2J2,4,2,partial
OCNT-0454884-AA-001,CYP3A4,4,2,partial
OCNT-0454889-AA-001,CYP2J2,4,0,none
OCNT-0454889-AA-001,CYP3A4,4,0,none
OCNT-0454890-AA-001,CYP2J2,4,0,none
OCNT-0454890-AA-001,CYP3A4,4,3,partial
OCNT-0454892-AA-001,CYP2J2,4,0,none
OCNT-0454892-AA-001,CYP3A4,4,0,none
OCNT-0454895-AA-001,CYP2J2,4,0,none
OCNT-0454895-AA-001,CYP3A4,4,3,partial
OCNT-0454897-AA-001,CYP2J2,4,0,none
OCNT-0454897-AA-001,CYP3A4,4,0,none
OCNT-0454899-AA-001,CYP2J2,4,0,none
OCNT-0454899-AA-001,CYP3A4,4,0,none
OCNT-0454901-AA-001,CYP2J2,4,0,none
OCNT-0454901-AA-001,CYP3A4,4,0,none
OCNT-0454902-AA-001,CYP2J2,4,0,none
OCNT-0454902-AA-001,CYP3A4,4,0,none
OCNT-0454903-AA-001,CYP2J2,4,0,none
OCNT-0454903-AA-001,CYP3A4,4,0,none
OCNT-0454906-AA-001,CYP2J2,4,4,full
OCNT-0454906-AA-001,CYP3A4,4,0,none
OCNT-0454910-AA-001,CYP2J2,4,0,none
OCNT-0454910-AA-001,CYP3A4,4,0,none
OCNT-0454912-AA-001,CYP2J2,3,0,none
OCNT-0454912-AA-001,CYP3A4,4,4,full
OCNT-0454916-AA-001,CYP2J2,4,0,none
OCNT-0454916-AA-001,CYP3A4,4,0,none
OCNT-0454918-AA-001,CYP2J2,4,0,none
OCNT-0454918-AA-001,CYP3A4,4,0,none
OCNT-0454921-AA-001,CYP2J2,4,0,none
OCNT-0454921-AA-001,CYP3A4,4,0,none
OCNT-0454922-AA-001,CYP2J2,4,0,none
OCNT-0454922-AA-001,CYP3A4,4,4,full
OCNT-0454929-AA-001,CYP2J2,4,0,none
OCNT-0454929-AA-001,CYP3A4,4,0,none
OCNT-0454931-AA-001,CYP2J2,4,0,none
OCNT-0454931-AA-001,CYP3A4,4,0,none
OCNT-0454932-AA-001,CYP2J2,4,0,none
OCNT-0454932-AA-001,CYP3A4,4,4,full
OCNT-0454936-AA-001,CYP2J2,3,0,none
OCNT-0454936-AA-001,CYP3A4,4,4,full
OCNT-0454939-AA-001,CYP2J2,4,0,none
OCNT-0454939-AA-001,CYP3A4,4,0,none
OCNT-0454970-AA-001,CYP2J2,4,0,none
OCNT-0454970-AA-001,CYP3A4,4,4,full
OCNT-0454980-AA-001,CYP2J2,4,0,none
OCNT-0454980-AA-001,CYP3A4,4,0,none
OCNT-0454987-AA-001,CYP2J2,4,0,none
OCNT-0454987-AA-001,CYP3A4,4,4,full
OCNT-0454989-AA-001,CYP2J2,4,0,none
OCNT-0454989-AA-001,CYP3A4,3,3,full
OCNT-0454997-AA-001,CYP2J2,4,0,none
OCNT-0454997-AA-001,CYP3A4,4,0,none
OCNT-0455003-AA-001,CYP2J2,4,0,none
OCNT-0455003-AA-001,CYP3A4,4,4,full
OCNT-0455007-AA-001,CYP2J2,4,0,none
OCNT-0455007-AA-001,CYP3A4,4,0,none
OCNT-0455012-AA-001,CYP2J2,4,0,none
OCNT-0455012-AA-001,CYP3A4,4,4,full
OCNT-0455026-AA-001,CYP2J2,4,0,none
OCNT-0455026-AA-001,CYP3A4,4,0,none
OCNT-0455046-AA-001,CYP2J2,4,0,none
OCNT-0455046-AA-001,CYP3A4,4,0,none
OCNT-0455058-AA-001,CYP2J2,4,0,none
OCNT-0455058-AA-001,CYP3A4,3,0,none
OCNT-0455070-AA-001,CYP2J2,4,0,none
OCNT-0455070-AA-001,CYP3A4,4,4,full
OCNT-0455078-AA-001,CYP2J2,4,0,none
OCNT-0455078-AA-001,CYP3A4,4,4,full
OCNT-0455082-AA-001,CYP2J2,4,0,none
OCNT-0455082-AA-001,CYP3A4,4,3,partial
OCNT-0455084-AA-001,CYP2J2,4,0,none
OCNT-0455084-AA-001,CYP3A4,4,4,full
OCNT-0455086-AA-001,CYP2J2,4,0,none
OCNT-0455086-AA-001,CYP3A4,4,4,full
OCNT-0455088-AA-001,CYP2J2,4,0,none
OCNT-0455088-AA-001,CYP3A4,3,3,full
OCNT-0455090-AA-001,CYP2J2,4,0,none
