ocnt_batch,CYP2J2,CYP3A4,CYP2J2_call,CYP3A4_call
OCNT-0455102-AA-001,0.0141125892186553,-3.1304183920360433,non-substrate,substrate
OCNT-0455112-AA-001,-0.0737774770579765,-2.221471776070187,inconclusive,substrate
OCNT-0455116-AA-001,0.0464927911805031,-3.35999646591856,non-substrate,substrate
OCNT-0455118-AA-001,0.0221053499596664,-3.8449076084240983,non-substrate,substrate
OCNT-0455120-AA-001,0.0417944305173769,-2.5274266815256974,non-substrate,substrate
OCNT-0455122-AA-001,0.0908023834001492,-0.823146081534543,non-substrate,substrate
OCNT-0455126-AA-001,-0.157853153392466,-3.0805665234716364,inconclusive,substrate
OCNT-0455834-AA-001,-0.1335379725562828,-3.61453486484989,inconclusive,substrate
OCNT-0455853-AA-001,-0.043623437833573,-1.0468564843115442,non-substrate,substrate
OCNT-0455855-AA-001,-0.0186645527228845,-1.107850478050994,non-substrate,substrate
OCNT-0455861-AA-001,0.0770022315642226,-3.4093119740379323,non-substrate,substrate
OCNT-0455932-AA-001,0.0216246768771503,0.0397929083129572,non-substrate,non-substrate
OCNT-0455940-AA-001,-0.8186745982855166,-3.668295031087855,substrate,substrate
OCNT-0455964-AA-001,0.0187710011452742,-0.7119213837971068,non-substrate,substrate
OCNT-0455988-AA-001,-0.0061475906509826,-3.311616461895316,non-substrate,substrate
OCNT-0455990-AA-001,-3.002881062398478,-0.185020011673387,substrate,inconclusive
OCNT-0456008-AA-001,-2.856675426025608,-0.6108220392005719,substrate,substrate
OCNT-0456010-AA-001,-0.1937877188761722,-0.8495394797928282,substrate,substrate
OCNT-0456012-AA-001,-0.6982233242086567,-0.3366699997867913,substrate,substrate
OCNT-0456014-AA-001,-0.4488966240112029,-0.076172826190163,substrate,inconclusive
OCNT-0456022-AA-001,0.0556887290337356,-0.0687009005130688,non-substrate,inconclusive
OCNT-0456054-AA-001,0.0095050673553668,-0.0343325851368699,non-substrate,inconclusive
OCNT-0456072-AA-001,-1.1552165456599015,-0.170175049813373,substrate,inconclusive
OCNT-0456140-AA-001,-0.5212327098578143,-3.965844866763404,substrate,substrate
OCNT-0456142-AA-001,-0.0545073509441872,-4.155329077405154,inconclusive,substrate
OCNT-0456144-AA-001,-0.041364862006885,-0.8704926309478719,non-substrate,substrate
OCNT-0456158-AA-001,-0.2543708044615937,-3.922133557101257,substrate,substrate
OCNT-0456160-AA-001,-0.3143405893942245,-3.78295044658547,substrate,substrate
OCNT-0456162-AA-001,-0.3839912983599153,-3.5457601406308084,substrate,substrate
OCNT-0456166-AA-001,-2.5747091948505965,-2.775599900208268,substrate,substrate
OCNT-0456180-AA-001,-0.047813310659953,-2.6336248915545646,inconclusive,substrate
OCNT-0456186-AA-001,-0.0207794981590071,-0.1782181337331432,non-substrate,substrate
OCNT-0456188-AA-001,-0.775637368963708,-3.634219839978549,substrate,substrate
OCNT-0456192-AA-001,-0.2150668598369998,-2.981238529379545,substrate,substrate
OCNT-0456204-AA-001,-0.0300573757928448,-3.084980964645609,non-substrate,substrate
