core,id_i,id_j,sub_i,sub_j,activity_i,se_i,activity_j,se_j,delta_activity,abs_delta,se_diff,p_value,q_value,significant
CCOc1cccc(CNC(=O)[C@H]2CCC[C@H]2[*:1])c1,OCNT-0475198-AA-001,OCNT-0475224-AA-001,COc1ccc(C(=O)N[*:1])cn1,COc1ccc(C(=O)N[*:1])cc1,-2.5515879463243074,0.1976383244034274,-2.9459607866693167,0.1293100958408555,0.3943728403450093,0.3943728403450093,0.23618215038263507,0.09496238822707945,0.11777646426338743,False
CCOc1cccc(CNC(=O)[C@H]2CCC[C@H]2NC(=O)[*:1])c1,OCNT-0475198-AA-001,OCNT-0475224-AA-001,COc1ccc([*:1])cn1,COc1ccc([*:1])cc1,-2.5515879463243074,0.1976383244034274,-2.9459607866693167,0.1293100958408555,0.3943728403450093,0.3943728403450093,0.23618215038263507,0.09496238822707945,0.11777646426338743,False
CC(C)CN1C(=O)c2ccccc2C(C(=O)N[*:1])C12CCCCC2,OCNT-0461295-AA-001,OCNT-0461297-AA-001,COC(=O)C[*:1],COC(=O)CC[*:1],-1.003444624890907,0.1467251806888117,-0.6131396708385344,0.0378227345756047,-0.39030495405237264,0.39030495405237264,0.15152174068080493,0.009997936172520733,0.01383764129760081,True
CC(C)CN1C(=O)c2ccccc2C([*:1])C12CCCCC2,OCNT-0461295-AA-001,OCNT-0461297-AA-001,COC(=O)CNC(=O)[*:1],COC(=O)CCNC(=O)[*:1],-1.003444624890907,0.1467251806888117,-0.6131396708385344,0.0378227345756047,-0.39030495405237264,0.39030495405237264,0.15152174068080493,0.009997936172520733,0.01383764129760081,True
CC(C)CN1C(=O)c2ccccc2C(C(=O)NC[*:1])C12CCCCC2,OCNT-0461295-AA-001,OCNT-0461297-AA-001,COC(=O)[*:1],COC(=O)C[*:1],-1.003444624890907,0.1467251806888117,-0.6131396708385344,0.0378227345756047,-0.39030495405237264,0.39030495405237264,0.15152174068080493,0.009997936172520733,0.01383764129760081,True
CC(C)C(=O)N1CCc2c(c([*:1])nn2C)C1,OCNT-0463093-AA-001,OCNT-0462943-AA-001,Clc1ccccc1-c1nnc([*:1])o1,CCSc1nnc([*:1])n1C,-0.3239569875787671,0.061682932583834,0.0601466786099829,0.0196517985913867,-0.38410366618875,0.38410366618875,0.06473775837962138,2.970419022971552e-09,5.35244134698924e-09,True
O=C1C2CCCN2C(=O)c2ccccc2N1Cc1ccc([*:1])cc1,OCNT-0462804-AA-001,OCNT-0462547-AA-001,Cc1ccc(C(C)NC(=O)[*:1])c(C)c1,CCc1ccc(CNC(=O)[*:1])cc1,-2.9766438385567735,0.0441556475659202,-3.360713649236761,0.0261585450106912,0.38406981067998736,0.38406981067998736,0.05132241897107064,7.238513214074374e-14,1.4934773891096116e-13,True
O=C(N[*:1])c1ccc(CN2C(=O)C3CCCN3C(=O)c3ccccc32)cc1,OCNT-0462804-AA-001,OCNT-0462547-AA-001,Cc1ccc(C(C)[*:1])c(C)c1,CCc1ccc(C[*:1])cc1,-2.9766438385567735,0.0441556475659202,-3.360713649236761,0.0261585450106912,0.38406981067998736,0.38406981067998736,0.05132241897107064,7.238513214074374e-14,1.4934773891096116e-13,True
COC(=O)CCNC(=O)C1c2ccccc2C(=O)N([*:1])C12CCCCC2,OCNT-0461271-AA-001,OCNT-0461289-AA-001,C1CCC([*:1])C1,C1CCC([*:1])CC1,-3.083062490403662,0.1915115362433011,-2.700863622612657,0.1112262189450318,-0.3821988677910051,0.3821988677910051,0.22146769582735398,0.0843915926151163,0.10595352425708718,False
CCSc1nnc(-c2nn(C)c3c2CN(C(=O)[*:1])CC3)n1C,OCNT-0462943-AA-001,OCNT-0462939-AA-001,CC(C)[*:1],Clc1ccc(OC[*:1])cc1,0.0601466786099829,0.0196517985913867,-0.3218712505296963,0.1163143279529879,0.3820179291396792,0.3820179291396792,0.11796277410705316,0.0012017614399524117,0.0017833294381828693,True
