ocnt_batch,enzyme,mean,std,size,cv
OCNT-0454750-AA-001,CYP2J2,11691.625,706.9828351287368,4,0.060469167898280766
OCNT-0454750-AA-001,CYP3A4,22590.75,2063.600474090532,4,0.09134714314887872
OCNT-0454753-AA-001,CYP2J2,9295.375,763.7131196769286,4,0.08216054970099954
OCNT-0454753-AA-001,CYP3A4,12415.625,1370.2029883074501,4,0.11036117700940952
OCNT-0454778-AA-001,CYP2J2,26441.875,3288.7687760771505,4,0.12437729079640344
OCNT-0454778-AA-001,CYP3A4,45120.625,894.9141835021584,4,0.01983381620937561
OCNT-0454780-AA-001,CYP2J2,33083.875,2578.6535367319125,4,0.07794291136488432
OCNT-0454780-AA-001,CYP3A4,45321.75,4881.112552482272,4,0.10769911913115164
OCNT-0454781-AA-001,CYP2J2,42962.25,1307.2381509630645,4,0.030427599833878917
OCNT-0454781-AA-001,CYP3A4,48351.125,2537.9520081816627,4,0.052490030132321897
OCNT-0454782-AA-001,CYP2J2,19025.25,2233.1282430706933,4,0.11737707746656119
OCNT-0454782-AA-001,CYP3A4,33764.625,1476.7683397089284,4,0.04373714619098919
OCNT-0454784-AA-001,CYP2J2,124893.875,10473.21257124575,4,0.08385689507388372
OCNT-0454784-AA-001,CYP3A4,171115.125,6057.410150317268,4,0.0353996185335298
OCNT-0454792-AA-001,CYP2J2,8598.0,1410.2205501268236,4,0.16401727728853496
OCNT-0454792-AA-001,CYP3A4,41821.25,5655.313143407711,4,0.13522582762131002
OCNT-0454827-AA-001,CYP2J2,80650.75,6867.147218217087,4,0.08514672483786062
OCNT-0454827-AA-001,CYP3A4,131133.375,11965.564030270365,4,0.09124728186299151
OCNT-0454831-AA-001,CYP2J2,14061.25,842.3325253920408,4,0.059904526652469786
OCNT-0454831-AA-001,CYP3A4,24881.125,1938.0915602296327,4,0.07789404861032742
OCNT-0454835-AA-001,CYP2J2,43151.5,1277.2422114331591,4,0.02959902231517234
OCNT-0454835-AA-001,CYP3A4,51969.0,6691.803680623035,4,0.1287652962462821
OCNT-0454840-AA-001,CYP2J2,296223.0,16180.309798229042,4,0.05462205770054669
OCNT-0454840-AA-001,CYP3A4,323306.5,17562.41072575174,4,0.05432124230645452
OCNT-0454842-AA-001,CYP2J2,35423.666666666664,5333.767531804639,3,0.15057073515271258
OCNT-0454842-AA-001,CYP3A4,227550.25,6581.822714871614,4,0.028924699994272097
OCNT-0454845-AA-001,CYP2J2,19033.375,989.4508893825913,4,0.05198504676036653
OCNT-0454845-AA-001,CYP3A4,27907.0,2656.0608364016566,4,0.09517543399153104
OCNT-0454847-AA-001,CYP2J2,119449.5,6616.957722397809,4,0.055395440938621004
OCNT-0454847-AA-001,CYP3A4,150232.125,11423.9593353545,4,0.07604205382407059
OCNT-0454848-AA-001,CYP2J2,29893.375,3369.2684511379216,4,0.11270953685015231
OCNT-0454848-AA-001,CYP3A4,340078.25,23037.760750920796,4,0.06774252911181705
OCNT-0454851-AA-001,CYP2J2,23734.25,1824.3540637716128,4,0.07686588216487197
OCNT-0454851-AA-001,CYP3A4,45660.375,2018.7257274082585,4,0.044211764082276124
OCNT-0454857-AA-001,CYP2J2,109053.875,1460.5262393511923,4,0.013392703737956972
OCNT-0454857-AA-001,CYP3A4,157227.875,6773.200577459669,4,0.04307887884040708
OCNT-0454859-AA-001,CYP2J2,22739.125,2463.8865089867004,4,0.1083544995239131
OCNT-0454859-AA-001,CYP3A4,26907.25,3381.765773970752,4,0.12568232628643775
OCNT-0454860-AA-001,CYP2J2,26414.75,2043.702298118132,4,0.07736973842713378
OCNT-0454860-AA-001,CYP3A4,43189.375,2854.5781759307274,4,0.06609445438677285
OCNT-0454862-AA-001,CYP2J2,163970.75,9731.905658708367,4,0.059351473715332566
OCNT-0454862-AA-001,CYP3A4,186793.125,10250.958405396379,4,0.0548786707508447
OCNT-0454864-AA-001,CYP2J2,65133.833333333336,6425.971333839992,3,0.09865796322709895
OCNT-0454864-AA-001,CYP3A4,89965.5,6167.961758149932,3,0.0685591894465093
OCNT-0454866-AA-001,CYP2J2,225272.375,5873.448821816702,4,0.026072654588991225
OCNT-0454866-AA-001,CYP3A4,372341.125,14380.440213330281,4,0.03862168116221457
OCNT-0454868-AA-001,CYP2J2,53777.5,3017.9284009620455,4,0.05611879319347395
OCNT-0454868-AA-001,CYP3A4,68821.375,8765.958954719863,4,0.12737262158333604
OCNT-0454869-AA-001,CYP2J2,137850.25,7045.411526897014,4,0.05110916757058485
OCNT-0454869-AA-001,CYP3A4,212833.25,17386.728988417188,4,0.08169178917493948
OCNT-0454870-AA-001,CYP2J2,27905.75,3673.0160290965246,4,0.13162219360155253
OCNT-0454870-AA-001,CYP3A4,33115.833333333336,5201.806665316709,3,0.15707914135685472
OCNT-0454871-AA-001,CYP2J2,139707.875,6400.959906855119,4,0.04581674373656545
OCNT-0454871-AA-001,CYP3A4,209339.875,7433.153574526765,4,0.03550758580765735
OCNT-0454872-AA-001,CYP2J2,98486.25,10354.83819686881,4,0.10513993777678417
OCNT-0454872-AA-001,CYP3A4,129375.25,15361.692010213806,4,0.11873748657655778
OCNT-0454876-AA-001,CYP2J2,53101.25,3620.6214590868235,4,0.06818335649512626
OCNT-0454876-AA-001,CYP3A4,181637.5,14233.502889310132,4,0.07836213826610768
OCNT-0454879-AA-001,CYP2J2,11183.5,2047.4892348109345,4,0.18308125674528855
OCNT-0454879-AA-001,CYP3A4,19054.75,1894.1897344247227,4,0.09940774528265775
OCNT-0454884-AA-001,CYP2J2,14260.0,545.4942712806433,4,0.038253455209021264
